arquivo,classe,intensidade_media,desvio_padrao,entropia,contraste,homogeneidade
cafe_Luisa_10_7T.png,cafe_Luisa,85.17534014917696,59.67770192277627,7.131997202534358,1978.6474417892161,0.1149960070276759
cafe_Luisa_11_7T.png,cafe_Luisa,69.81976466049383,47.83320987419185,7.071596588821986,1142.70546875,0.13511619073606942
cafe_Luisa_12_7T.png,cafe_Luisa,73.27078125,49.55411838940401,7.052236597319086,1530.6026654411762,0.12108406737627368
cafe_Luisa_13_7T.png,cafe_Luisa,67.89967078189301,40.81172063952072,6.934395385012082,1082.1311274509803,0.13382707134181746
cafe_Luisa_14_7T.png,cafe_Luisa,71.85023598251028,42.44909938338218,7.042072593397786,817.5425551470589,0.14189039422871375
cafe_Luisa_1_7T.png,cafe_Luisa,57.85134194958848,39.76794476070945,6.847333645701956,850.3716452205883,0.1666192319574635
cafe_Luisa_2_7T.png,cafe_Luisa,73.48570601851851,52.05987604015052,7.131191483481004,1568.8840839460786,0.12773628985930685
cafe_Luisa_3_7T.png,cafe_Luisa,80.8174620627572,54.87602355682004,7.244809751665579,1935.6060968137258,0.10774878949963262
cafe_Luisa_4_7T.png,cafe_Luisa,84.97794110082305,58.261306708150485,7.230909014352213,2165.3706954656864,0.09924593429770164
cafe_Luisa_5_7T.png,cafe_Luisa,91.99429333847736,61.666312261000805,7.232557633527842,2557.9084558823533,0.09253757231632304
cafe_Luisa_6_7T.png,cafe_Luisa,45.754098508230456,29.465410980269407,6.318984940017861,581.9713082107843,0.18131835101678861
cafe_Luisa_7_7T.png,cafe_Luisa,57.08071244855967,38.12289593676726,6.6925717703106065,860.7980085784318,0.15910994952953306
cafe_Luisa_8_7T.png,cafe_Luisa,56.091732896090534,30.610711625555098,6.528733446089208,644.3234528186276,0.15955855171759364
cafe_Luisa_9_7T.png,cafe_Luisa,64.68455182613168,45.169966316491056,6.896952975783284,1200.6212775735298,0.15107462202835675
milho1_10_7T.png,milho1,79.1928716563786,53.33867372577404,7.287605879659278,1948.8974877450983,0.08363347246960713
milho1_11_7T.png,milho1,81.50535108024691,60.06311839665462,7.132420120532432,2291.035447303922,0.09390043595694626
milho1_12_7T.png,milho1,86.44459747942386,53.23328026075392,7.328043388699126,1776.9102634803921,0.08892244513253926
milho1_13_7T.png,milho1,74.40914223251029,49.85830764077638,7.118826037117798,1330.7843137254904,0.10785616670913035
milho1_14_7T.png,milho1,90.62157085905349,53.92716553572592,7.36238746689763,1779.966207107843,0.08533534431402402
milho1_1_7T.png,milho1,93.88461676954732,56.8260737709228,7.458206929877895,2199.355085784314,0.06853604679989592
milho1_2_7T.png,milho1,82.32060249485596,52.12037907369993,7.148411466246378,1918.569347426471,0.08936659633518958
milho1_3_7T.png,milho1,83.57098701131687,51.42554369105257,7.249534037276424,1203.8681066176468,0.10328821777039925
milho1_4_7T.png,milho1,93.94149369855967,57.159035251984356,7.337300987914393,2386.113556985294,0.07182869178687006
milho1_5_7T.png,milho1,94.8544302983539,57.327155576648735,7.3751400913274505,2330.4137101715687,0.07787424404113596
milho1_6_7T.png,milho1,58.158639403292185,35.690245926165545,6.805701202939427,636.8856004901962,0.15681383052970563
milho1_7_7T.png,milho1,46.22942193930041,27.45213255849084,6.480209170649419,354.6013939950981,0.18293457428058166
milho1_8_7T.png,milho1,56.897472350823044,31.75918256183183,6.640041004992157,577.1139705882352,0.15628545711537234
milho1_9_7T.png,milho1,64.19186985596708,40.03265768184196,6.897413163725065,1109.5611979166667,0.11427400537926152
milho3_10_7T.png,milho3,71.23200231481482,59.13660486106573,7.130845654360782,3026.4971966911767,0.07286935143104772
milho3_11_7T.png,milho3,76.76016396604938,62.93140900088195,7.243697342237635,3144.5443167892154,0.0740795495170341
milho3_12_7T.png,milho3,68.20908886316873,58.00094832647255,7.061070835662719,2801.026792279412,0.08513450318451854
milho3_13_7T.png,milho3,79.79349086934157,61.421924766479584,7.227856465713666,2949.089322916667,0.0794272547447872
milho3_14_7T.png,milho3,69.52042888374486,51.647373868041306,7.125179048229034,1815.0473651960785,0.0940614688792628
milho3_1_7T.png,milho3,78.40833140432099,59.73263919406818,7.277816918824486,2441.800214460785,0.07730663095267731
milho3_2_7T.png,milho3,79.82389917695473,67.28407697574136,7.2726953553431555,2314.328400735295,0.10483496453821031
milho3_3_7T.png,milho3,76.4711908436214,54.08412623324118,7.256635379413347,1438.9892003676475,0.08565020543349931
milho3_4_7T.png,milho3,70.5527321244856,49.867286509483655,7.1557916075820405,1188.3440257352943,0.09525644634092521
milho3_5_7T.png,milho3,63.087063400205764,45.862449103127695,6.911179316073854,1664.019224877451,0.08676515888851438
milho3_6_7T.png,milho3,64.81289351851852,54.45486913766656,7.0407639416248,1829.725827205882,0.10913565920505923
milho3_7_7T.png,milho3,44.98220228909465,30.206315964749294,6.476543496082069,610.5438419117648,0.15946192658859304
milho3_8_7T.png,milho3,41.64681262860082,29.597011631984955,6.439837917900666,524.4522977941176,0.16098211330848414
milho3_9_7T.png,milho3,53.86938978909465,48.486730947061005,6.832753935872524,1605.1009803921572,0.13937395223623938
