                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 0.1676,                0.53333,                      1,                 0.3242,              5.712e-05,              5.712e-05,              5.712e-05
                      1,                0.12989,                0.61667,                      1,                0.31101,             0.00011898,             0.00011898,             0.00011898
                      2,                0.11218,                0.71667,                      1,                0.29307,             0.00017829,             0.00017829,             0.00017829
                      3,                0.08287,                    0.7,                      1,                0.28149,             0.00023506,             0.00023506,             0.00023506
                      4,                0.06337,                    0.7,                      1,                0.28247,             0.00028928,             0.00028928,             0.00028928
                      5,                0.05098,                0.66667,                      1,                0.27436,             0.00034096,             0.00034096,             0.00034096
                      6,                0.03271,                   0.75,                      1,                 0.2535,             0.00039009,             0.00039009,             0.00039009
                      7,                0.02642,                0.83333,                      1,                0.24657,             0.00043668,             0.00043668,             0.00043668
                      8,                0.02587,                    0.8,                      1,                0.24772,             0.00048072,             0.00048072,             0.00048072
                      9,                0.02063,                0.71667,                      1,                0.26711,             0.00052222,             0.00052222,             0.00052222
                     10,                0.02176,                0.68333,                      1,                0.27601,             0.00056118,             0.00056118,             0.00056118
                     11,                0.01851,                0.73333,                      1,                0.25409,             0.00055849,             0.00055849,             0.00055849
                     12,                0.01882,                0.76667,                      1,                  0.249,             0.00055849,             0.00055849,             0.00055849
                     13,                0.01397,                0.73333,                      1,                0.25787,             0.00054435,             0.00054435,             0.00054435
                     14,                0.01425,                0.73333,                      1,                0.25862,             0.00053022,             0.00053022,             0.00053022
                     15,                0.02125,                0.61667,                      1,                0.29064,             0.00051608,             0.00051608,             0.00051608
                     16,                0.01468,                0.68333,                      1,                 0.2724,             0.00050194,             0.00050194,             0.00050194
                     17,                0.01434,                   0.75,                      1,                0.26118,              0.0004878,              0.0004878,              0.0004878
                     18,                 0.0146,                0.81667,                      1,                0.25079,             0.00047367,             0.00047367,             0.00047367
                     19,                0.01409,                   0.75,                      1,                0.25594,             0.00045953,             0.00045953,             0.00045953
                     20,                0.01805,                0.76667,                      1,                 0.2562,             0.00044539,             0.00044539,             0.00044539
                     21,                0.02045,                0.71667,                      1,                0.26781,             0.00043126,             0.00043126,             0.00043126
                     22,                0.01715,                    0.7,                      1,                0.27119,             0.00041712,             0.00041712,             0.00041712
                     23,                0.01807,                0.71667,                      1,                0.26984,             0.00040298,             0.00040298,             0.00040298
                     24,                0.01526,                    0.7,                      1,                0.26784,             0.00038884,             0.00038884,             0.00038884
                     25,                  0.013,                0.71667,                      1,                0.26321,             0.00037471,             0.00037471,             0.00037471
                     26,                0.01301,                    0.7,                      1,                0.26092,             0.00036057,             0.00036057,             0.00036057
                     27,                 0.0187,                0.78333,                      1,                  0.246,             0.00034643,             0.00034643,             0.00034643
                     28,                0.01741,                    0.8,                      1,                 0.2449,              0.0003323,              0.0003323,              0.0003323
                     29,                 0.0128,                    0.8,                      1,                0.24433,             0.00031816,             0.00031816,             0.00031816
                     30,                0.01274,                    0.8,                      1,                0.24404,             0.00030402,             0.00030402,             0.00030402
                     31,                0.01821,                0.73333,                      1,                0.25325,             0.00028988,             0.00028988,             0.00028988
                     32,                 0.0152,                   0.75,                      1,                0.25097,             0.00027575,             0.00027575,             0.00027575
                     33,                 0.0119,                   0.75,                      1,                0.25578,             0.00026161,             0.00026161,             0.00026161
                     34,                0.02518,                0.71667,                      1,                0.25777,             0.00024747,             0.00024747,             0.00024747
                     35,                0.01262,                    0.7,                      1,                0.26497,             0.00023334,             0.00023334,             0.00023334
                     36,                0.01429,                0.71667,                      1,                0.26019,              0.0002192,              0.0002192,              0.0002192
                     37,                0.01257,                    0.7,                      1,                0.26312,             0.00020506,             0.00020506,             0.00020506
                     38,                0.01229,                    0.7,                      1,                0.26232,             0.00019092,             0.00019092,             0.00019092
                     39,                0.01203,                0.71667,                      1,                0.26461,             0.00017679,             0.00017679,             0.00017679
                     40,                0.01366,                0.73333,                      1,                0.26323,             0.00016265,             0.00016265,             0.00016265
                     41,                 0.0117,                0.73333,                      1,                0.26191,             0.00014851,             0.00014851,             0.00014851
                     42,                0.01156,                0.73333,                      1,                0.26138,             0.00013437,             0.00013437,             0.00013437
                     43,                0.01122,                0.76667,                      1,                0.25838,             0.00012024,             0.00012024,             0.00012024
                     44,                0.01693,                0.76667,                      1,                0.25862,              0.0001061,              0.0001061,              0.0001061
                     45,                0.01225,                   0.75,                      1,                0.25809,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     46,                0.01144,                0.76667,                      1,                0.25601,             7.7826e-05,             7.7826e-05,             7.7826e-05
                     47,                 0.0126,                0.73333,                      1,                0.26003,             6.3689e-05,             6.3689e-05,             6.3689e-05
                     48,                0.01093,                0.73333,                      1,                0.25829,             4.9552e-05,             4.9552e-05,             4.9552e-05
                     49,                0.01118,                   0.75,                      1,                0.25772,             3.5414e-05,             3.5414e-05,             3.5414e-05
